,text,polarity
533,The pizza here is delicious.,positive
534,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",positive
535,They have some great entrees here as well.,positive
536,"Service is great, takeout is good too.",positive
537,Would recommend - perfect for those looking for a place close to grand central.,positive
538,I've been to Naples 45 for dinner twice.,neutral
539,I've had pizza both times and the caprese salad appetizer.,neutral
540,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.",positive
541,Great pizza for lunch place.,positive
542,Service was quick.,positive
543,The pizza was great.,positive
544,And it was quick which is very important.,positive
545,Have the iced tea.,positive
546,It was wonderful.,positive
547,"Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook.",positive
548,Everyone treats you like you were part of the family.,positive
549,"We didn't even see a menu, as our waiter described both the specials and the main dishes.",positive
550,"Two people in our party felt like something else, and Volare immediately obliged with two great dishes that were not in their regular menu.",positive
551,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",positive
552,Go to Volare for 1st class service and terrific food.,positive
553,The portions are large and the servers always surprise us with a different starter.,positive
554,The wine list is excellent.,positive
555,The only thing more wonderful than the food (which is exceptional) is the service.,positive
556,The only thing the waiters don't do for you is wipe your chin when you leave.,positive
557,Wonderful at holiday time.,positive
558,"Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.",positive
559,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",positive
560,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,positive
561,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",positive
562,I suspect this restaurant is what Rao's would be if it hadn't turned exclusive.,neutral
563,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",positive
564,The prices are exceptionally reasonable for food of this caliber.,positive
565,"Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).",negative
566,And you're hungry a few hours later.,neutral
567,"Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.",positive
568,I've rarely had a problem with slow staff in the 10 years I've been going.,positive
569,The all you can eat deal is truly amazing here.,positive
570,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,positive
571,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,positive
572,"Everything is delicious, though, my gf and I come here once a week sometimes- you will get addicted!",positive
573,This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,positive
574,This big draw is the all you can sushi here for $19.95!,positive
575,"Last time I went here, the waitress didn't come back after taking our order.",negative
576,"Late nite omelletes are not good here, there is no variety!",negative
577,"Otherwise, this place has great service and prices and a nice friendly atmosphere.",positive
578,Definitely will be back!,positive
579,We come from New Jersey to eat at Kinoko.,neutral
580,"Not the greatest sushi place, but excellent for a $19.95 all you can eat.",neutral
581,"Not the greatest sushi place, but excellent for a $19.95 all you can eat.",positive
582,The spicy tuna and salmon are the best we've ever had.,positive
583,I have never before eaten 40 pieces of relatively good nigiri.,neutral
584,Stuffing yourself with Japanese food is a rare thing.,neutral
585,You can do it here.,neutral
586,$20 for all you can eat sushi cannot be beaten.,positive
587,"Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.",negative
588,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,negative
589,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,neutral
590,Should you happen to be impressed by the cuisine definitely try it.,positive
591,It is not a place for tourists or someone who has never dined in Bay Ridge.,neutral
592,Look elsewhere.,negative
593,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,positive
594,The food is awesome - definitely try the striped bass.,positive
595,Decent wine selection too.,positive
596,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",negative
597,Made my dining experience uncomfortable.,negative
598,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.",negative
599,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",positive
600,Maybe it was just an unintentional mistake but I've experienced the same with other restaurants so I don't appreciate such practice.,negative
601,"I went to Areo on a Sunday afternoon with four of my girlfriends, and spent three enjoyable hours there.",positive
602,"The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",neutral
603,"Most of the servers are very attentive, friendly and quite attractive.",positive
604,"The vibe is very relaxed and cozy, service was great and the food was excellent!",positive
605,Me and my girls will definitely go back.,positive
606,moral stay away.,negative
607,"Most people eat there seem to be typical Upper East Side snobs, so be aware.",negative
608,The dish had like 6 pieces of beef in it.,neutral
609,Much of the time it seems like they do not care about you.,negative
610,Murray won't do it.,negative
611,My chow fun and chow see was really bland and oily.,negative
612,Good food.,positive
613,Nothing special about this place.,neutral
614,Owner must have coem on this website to give himself credit.,neutral
615,"Have eaten at Ginger House several times, and it's always good.",positive
616,The fried dumplings are GREAT!,positive
617,Finally a reliable Chinese restaurant!,positive
618,Winnie and her staff are the best crew you can find serving you.,positive
619,The food is reliable and the price is moderate.,positive
620,The food is reliable and the price is moderate.,neutral
621,What more can you ask for?,positive
622,"My co-workers had to wait almost an hour for delivery, only to discover that what they got was not what they ordered.",negative
623,Go with a group of friends and you will have a great time.,positive
624,"It is the type of place to run into old friends and have a late, raucus dinner.",positive
625,"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",neutral
626,My entire family was horrified.,negative
627,"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",positive
628,"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",negative
629,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,negative
630,My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).,negative
631,We happened upon this place purely by accident and were pleased with the results.,positive
632,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",positive
633,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",negative
634,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.",positive
635,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,positive
636,Lucky Strike is a great casual place to just grab a bite to eat.,positive
637,"Yeah the crowd can take it a bit seriously, but it shouldn't.",neutral
638,"Great food, great decor, great service.",positive
639,I recommend it!,positive
640,My only problem is that you are literally sitting on top of the people next to you!,negative
641,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",positive
642,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",positive
643,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",positive
644,"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",positive
645,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",positive
646,You can't go wrong with this place.,positive
647,Pizza here is consistently good.,positive
648,Salads are a delicious way to begin the meal.,positive
649,My sister says it reminds her of a restaurant run by high-school students who don't know what they are doing.,negative
650,My steak au poivre was one of the worst I've had.,negative
651,Decor is charming.,positive
652,Service is average.,neutral
653,I can't believe people complain about no cheese sticks?,neutral
654,Great staff.,positive
655,Always great service!,positive
656,I go twice a month!,neutral
657,Fantastic!,positive
658,I live a block away and go to Patsy's frequently.,neutral
659,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive
660,"My turkey burger was not cooked at all, my friends salmon was completely raw.",negative
661,So eat fast and order a lot.,neutral
662,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,positive
663,"Needless to say, I'm never going back and you should be wary too.",negative
664,Great pizza and fantastic service.,positive
665,Located at the end of a magnificent block.,positive
666,The pizza was pretty good and huge.,positive
667,The price very reasonable.,positive
668,We got most of it back at home with us.,neutral
669,LLOOVVE THIS PLACE.,positive
670,Food is excellent.,positive
671,Fish is so very fresh.,positive
672,Waitstaff are very friendly.,positive
673,Love YUKA.,positive
674,Never again!,negative
675,"believe us, we've been eating sushi for over 15 yrs.",neutral
676,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",negative
677,"The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo.",neutral
678,The owner and staff are all Japanese as well and that adds to the entire ambiance.,positive
679,I must give it Yon out of Yon stars!,positive
680,Taxan delicious!,positive
681,Arigato Gozimas Yuka!,neutral
682,"This is some really good, inexpensive sushi.",positive
683,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice.",neutral
684,The spicy Tuna roll is huge and probably the best that I've had at this price range.,positive
685,The Yellowtail was particularly good as well.,positive
686,"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",positive
687,No apologies during restaurant week.,negative
688,"Read all the other review, they'll confirm it.",neutral
689,No free drink.,negative
690,No one asked what was wrong as we left with nothing touched on our plates.,negative
691,NO PIZZA 33 for me!,negative
692,No plans to return anytime soon.,negative
693,You guys are awesome!,positive
694,"No refills on fountain drinks, though.",negative
695,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",positive
696,No thanks!!!,negative
697,"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",negative
698,Not a great place for family or general dining.,negative
699,Not enough wines by the glass either.,negative
700,I agree.,neutral
701,"i have eaten here a handful of times, for no reason besides sheer convenience.",neutral
702,Not impressed with the food.,negative
703,"Not only would I not recommend Jimmy's restaurants to friends, I would strongly suggest they go anywhere but.",negative
704,hmmm.,neutral
705,we love th pink pony.,positive
706,THe perfect spot.,positive
707,Food-awesome.,positive
708,Service- friendly and attentive.,positive
709,Ambiance- relaxed and stylish.,positive
710,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",positive
711,I stumbled upon this great pizzeria as I explored my new neighborhood.,positive
712,All of the pizzas are terrific and the price is even better!,positive
713,I highly recommend the Sophia pizza.,positive
714,It's to die for!,positive
715,Rosario's is without a doubt one of the greatest pizzerias in existence.,positive
716,"Sure, everyone's got their favorite, but to know Sal, is to know New York.",neutral
717,He takes real pride in his food and his business.,positive
718,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",positive
719,"He can't help, they're bought up so fast.",neutral
720,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",positive
721,"He always says, I don't have customers.",neutral
722,I only have friends.,neutral
723,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",negative
724,"Good, fast service.",positive
725,I would highly recommend.,positive
726,Food is great and inexpensive.,positive
727,The location is perfect.,positive
728,Give it a try and enjoy.,positive
729,The establishment scores big points in presentation and style.,positive
730,"Everything looks great, the drinks, the decor, the food, even the people.",positive
731,"However, service was as plain as sesame crusted Salmon I had.",neutral
732,Not too crazy about their sake martini.,negative
733,Not what I wanted to hear.,negative
734,Not worth it.,negative
735,My husband and I enjoy Sangria.,positive
736,We were looking forward to nice glass of Sangria when we arrived.,positive
737,The space is nice but when we order our drink we were in for a surprise.,neutral
738,The space is nice but when we order our drink we were in for a surprise.,positive
739,We thought this a prelude to what the evening will be like.,neutral
740,Not worth the prices.,negative
741,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",neutral
742,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",positive
743,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",positive
744,I would like to return and try some of the other menu items when I don't have to rush off to a show.,positive
745,Fast service.,positive
746,"Note that they do not serve beer, you must bring your own.",negative
747,"Nothing against a good sales call, but the tactics at Amma are just too obvious.",negative
748,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",positive
749,now if they could only get a toaster.,negative
750,Now it's so crowded and loud you can't even talk to the person next to you.,negative
751,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,positive
752,"This is definitely a place that provides the best experience, though, to both A-listers and people walking in off the street.",positive
753,Enjoy!,positive
754,There was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at Pastis.,neutral
755,We were pleasantly greeted.,positive
756,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",positive
757,The food was very well prepared.,positive
758,The service was ok.,neutral
759,My boyfriend and I were in NY for a few days and Pastis was a place that came recommended.,neutral
760,I loved it.,positive
761,"The food was really good, I had the onion soup and it was one of the best ever.",positive
762,The fries are yummy.,positive
763,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,positive
764,And evaluated on those terms Pastis is simply wonderful.,positive
765,Had a late night dinner on a Saturday night.,neutral
766,"Great vibe, lots of people.",positive
767,"My husband and I both ordered the Steak, medium.",neutral
768,"I didn't complain, I liked the atmosphere so much.",positive
769,Will give it another chance before I write it off.,neutral
770,My husband and I enjoyed each of the 6 taste size portions and left completely full.,positive
771,The waitress suggested glasses of wine that went very well with the food.,positive
772,The restaraurant is very small so reservations are a must.,neutral
773,The entire dining experience was wonderful!,positive
774,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",negative
775,"The food is expensive, but worth every bite.",positive
776,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",positive
777,You will be satisfied.,positive
778,"Worth it for a special occasion, or any time!",positive
779,"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",positive
780,"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.",positive
781,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",positive
782,"All in all, I don't see how you can go wrong.",positive
783,I've been frequenting The Tasting Room since it first arrived in the East Village and I've never been disappointed.,positive
784,The food and staff always surprise me with the new heights they are taken to.,positive
785,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",positive
786,Oh and it's too tiny for families with strollers.,negative
787,Less = More in their case.,positive
788,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",negative
789,Went to Village last night for my birthday.,neutral
790,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",neutral
791,We were very pleasantly surprised.,positive
792,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",positive
793,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",positive
794,Truly the mark of an attentive waiter.,positive
795,I highly recommend the restaurant based on our experience last night.,positive
796,Threw my fiance's surprise 30th birthday dinner here couldn't be happier.,positive
797,"Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.",positive
798,This is a true gem of the village.,positive
799,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",positive
800,- i asked for them spicy and they were delicious).,positive
801,Our waiter and all of the people helping him were attentive and genuine.,positive
802,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place.",positive
803,Village is one of those places that scores on all fronts.,positive
804,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!",positive
805,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",positive
806,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",positive
807,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,neutral
808,"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",positive
809,The service was excellent and the food was delicious.,positive
810,Bring your appetites.,neutral
811,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,neutral
812,I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,positive
813,"If you're looking for a great meal at a decent price, go to Del Frisco's!",positive
814,Try the cheesecake!,positive
815,"Now at the top of our list, Del Frisco's Steakhouse.",positive
816,"Oh, but wait, we were out of drinks (which were also delightfully overpriced).",negative
817,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,positive
818,"$160 for 2 filets, 2 sides, an appetizer and drinks.",neutral
819,"Oh, don't even let me start with how expensive the bills were!",negative
820,"If you can handle that, it's a great place for a business dinner, fun with friends or simply a table for 2.",positive
821,I have lived in NY for many years and have dined at many restaraunts.,neutral
822,I went to DF for Valentines Day dinner.,neutral
823,"The service, wine selection, ambiance are all outstanding and deserve recognition.",positive
824,The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,positive
825,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.,negative
826,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",negative
827,One should not go to Lucky Strike for the food.,negative
828,"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",negative
829,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,positive
830,Finally!,positive
831,"When you want a piece of beef, head on over.",positive
832,"Tasty steak, pork loin, the works.",positive
833,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",negative
834,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",negative
835,"If presentation and service is your thing, then this magic show works.",positive
836,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",negative
837,Our first greeting when we entered was The last call is at 10:15.,negative
838,"The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.",positive
839,and there's no way out.,neutral
840,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",positive
841,Everything is for sale in here including the sculptured iron statue on the table.,neutral
842,Our last time there a few weeks ago was early at 5pm and it was very crowded and noisy.,negative
843,I love and I know gourmet food by excellence!,positive
844,"Alain Ducasse is the best of everything, I mean everything was excelent.I",positive
845,I am French and I really felt like home!!!,positive
846,"I will definetely go back again and again, that's for sure!!!",positive
847,Our server checked on us maybe twice during the entire meal.,negative
848,Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,negative
849,I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.,positive
850,"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",negative
851,Everything about this restaurant was special.,positive
852,"The service was attentive, yet discreet.",positive
853,The flavors robust and subtle.,positive
854,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,positive
855,I'm saving up for my next visit.,positive
856,We had a girls' night dinner here for restaurant week.,neutral
857,"Outstanding Bagels, but you get what you pay for.",negative
858,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",positive
859,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,positive
860,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,neutral
861,Be careful of portions - they're HUGE.,positive
862,I was pretty much full after our fondue appetizer.,positive
863,We ended the dinner with a surprisingly light and flaky apple tarte tatin.,positive
864,"Over price, and small portions .",negative
865,"Over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",negative
866,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night.",positive
867,We ran a little late for the reservation but it wasn't a problem to get our table immediately.,neutral
868,We ran a little late for the reservation but it wasn't a problem to get our table immediately.,positive
869,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,positive
870,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",positive
871,Overall a disappointing experience for that price category.,negative
872,Overall A oh ya even though there is waiting it is deff worth it,negative
873,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",negative
874,"Overall, not worth the money.",negative
875,"Perhaps it was an off night, but it was suprisingly average for a 9.3 rating.",negative
876,Pizza was a little soggy.,negative
877,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.",neutral
878,Plain and simple it's bad thai food.,negative
879,please don't fool us.,negative
880,Please save yourself the frustration.,negative
881,Price and quality of fish alone will keep us from making a return visit.,negative
882,The best thing I tasted were the lambchops.,positive
883,Ive been here so many times the waiters know my name.,neutral
884,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,positive
885,Overall A oh ya even though there is waiting it is deff worth it,positive
886,Priced at upper intermediate range.,negative
887,First of all Dal Bukhara Rocks.,positive
888,I am happy i did the food was awsome.,positive
889,JUST AWSOME.,positive
890,and yes Dal Bukhara is so dam good and so are all the kababs.,positive
891,They are opening two more places as i saw a flyer there one in Yonkers which is a restraunt and banquet hall and another one in parsipanny new jersey.,neutral
892,but overall i give it a 10,positive
893,just got back from lunch at Tamarind and it was excellent.,positive
894,we decided to eat in tea room which was small and cute.,positive
895,we split a tasty vegetable samosa and the malai tikka wrap.,positive
896,I definitely will go back.,positive
897,Decor is nice though service can be spotty.,positive
898,This place is always packed.,neutral
899,I know because I live nearby.,neutral
900,"Most importantly, food is excellent.",positive
901,Try the sea bass.,positive
902,Highly recommended.,positive
903,i'm surprised about some of the bad reviews posted here - i've been to tamarind about 5 or 6 times and always come away extremely satisfied and looking forward to returning.,positive
904,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",positive
905,very good breads as well.,positive
906,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,positive
907,"The staff was accomodating, the food was absolutely delicious and the place is lovely.",positive
908,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,positive
909,We all felt it was worth it.,positive
910,The dim sum here is only so-so.,neutral
911,Prices are higher to dine in and their chicken tikka marsala is quite good.,negative
912,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.,positive
913,The meat dishes were only so-so.,neutral
914,Prices too high for this cramped and unappealing resturant.,negative
915,"Excellent dumplings served amid clean, chic decor.",positive
916,"I got the $10 10-piece dim sum combo, every bite of which was great.",positive
917,"Pricey, but worth a try, at least once.",negative
918,Probably would not go again...,negative
919,Problem is nothing at Prune is particularly memorable.,negative
920,Tasty but expensive.,positive
921,"Quite frankly, this is some of the worst sushi I have ever tried.",negative
922,"Really though, where's the seasoning?",negative
923,Restaurant was dirty and unkempt.,negative
924,Very different than regular dimsum places.,neutral
925,Usually 3 vs. 4 items per dish.,neutral
926,Okay service.,neutral
927,Worth a visit.,positive
928,Ruby Foo's is a tourist trap.,negative
929,"Sake collection was excellent (Try Nanbu Bijin), but pricy.",negative
930,Sauce was watery and the food didn't have much flavor.,negative
931,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",positive
932,"Save your money and don't waste your calories, go to Margharita's on Washington Street instead, they have amazing food and the BEST service.",negative
933,Steamed fresh so brought hot hot hot to your table.,positive
934,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",positive
935,Save yourself the time and trouble and skip this one!,negative
936,"I've been to this monster sushi twice, the 46th st once, the 23rd st one a number of times.",neutral
937,SEA has become so popular that they've let it go to their heads.,negative
938,"Searching to get out from the cold, freezing weather, we went into what we thought was a deli.",negative
939,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",negative
940,I went there with my friend last saturday.,neutral
941,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",negative
942,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",neutral
943,Service is not what one would expect from a joint in this price category.,negative
944,then we ordered a dinosaur rolls and white tuna sashimi.,neutral
945,Service was also horrible and the ambience is not that great.,negative
946,My roommate and I LOVE this place.,positive
947,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",positive
948,Indoor was very cozy and cute.,positive
949,"The portion sizes here are huge, and the sushi is good.",positive
950,"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",positive
951,Staff is very accomodating.,positive
952,"Largest and freshest pieces of sushi, and delicious!",positive
953,Very good service and very good prices.,positive
954,Terrific menu full of unique rolls and special dishes.,positive
955,Highly recommend this as great value for excellent sushi and service.,positive
956,Killer Sushi!,positive
957,"This is the Cheers of New York, whether you've ever been there or not.",neutral
958,Everyone is welcomed in as family.,positive
959,"The food, drinks and service are clearly among the best in the city.",positive
960,"During our meal, the management came over and checked on us and even bought us a round of drinks.",positive
961,While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!,positive
962,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",positive
963,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.",positive
964,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",positive
965,"With so many poor experiences to be had in the theater district, is truly an excellent find!",positive
966,We will return many times for this oasis in mid-town.,positive
967,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,positive
968,"Try the crunchy tuna, it is to die for.",positive
969,"Try everything for that matter, it is all good.",positive
970,I have been going there since it opened and I can't get enough.,positive
971,Hurley's is terrific!,positive
972,I love going there!,positive
973,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",positive
974,I recommend this place to everyone who asks me where to go for a good meal.,positive
975,They all know you.,positive
976,Good drink.,positive
977,How do you rate home?,positive
978,The bagels are fabulous.,positive
979,"We live in New Jersey and whenever we go into New York City we buy bagels to eat hot and then to freeze (they told me that if I call in the order, they'd bring it out to the car so I wouldn't have to look for parking).",positive
980,They are the best bagels I've had.,positive
981,Their whitefish salad is excellent--all whitefish with a little mayo.,positive
982,The bagels are also reasonably priced for NYC.,positive
983,"Growing up in NY, I have eaten my share of bagels.",neutral
984,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,positive
985,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",positive
986,They have a huge selection of different cream cheeses and all of their salads are great.,positive
987,The lox is always fresh too.,positive
988,Highly recommended to all!,positive
989,Our first time in New York and we had to try a New York Bagel.,neutral
990,We were not dissappointed in the least bit by this little gem.,positive
991,The bagel was huge.,positive
992,They were served warm and had a soft fluffy interior.,positive
993,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,neutral
994,I loved it and would HIGHLY RECOMMEND.,positive
995,I grew up on these bagels.,positive
996,The staff is no nonsense.,positive
997,The food options rule.,positive
998,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else.,positive
999,Worth visiting the 1st Ave spot because it is the original store.,positive
1000,always fresh and delicious.,positive
1001,so garantuan that you can't fit them in a toaster.,positive
1002,"my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.",positive
1003,My friends and I have been going here regularly for two years.,neutral
1004,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken.",positive
1005,Their sake martini is wonderful.,positive
1006,It is by far my favorite restaurant in Brooklyn.,positive
1007,The drinks are always welll made and wine selection is fairly priced.,positive
1008,Downstairs lounge is always a good attraction,positive
1009,Faan's got a great concept but a little rough on the delivery.,positive
1010,Service was slow had to wait to order and get food although not crowded.,negative
1011,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.",positive
1012,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",negative
